2025-01-13 16:16:14,801 markata      WARNING  wikilink [[gratitude-199.md-20240801124248777.webp]] (gratitude-199.md-20240801124248777.webp, None) no matches, defaulting to '/gratitude-199.md-20240801124248777.webp'
2025-01-13 16:16:16,111 markata      WARNING  wikilink [[obsidian-image-converter-20240731211310793.webp]] (obsidian-image-converter-20240731211310793.webp, None) no matches, defaulting to '/obsidian-image-converter-20240731211310793.webp'
2025-01-13 16:16:18,285 markata      WARNING  wikilink [[kustomize]] (kustomize, None) no matches, defaulting to '/kustomize'
2025-01-13 16:16:18,374 markata      WARNING  wikilink [[vim-gq-20240805122634078.webp]] (vim-gq-20240805122634078.webp, None) no matches, defaulting to '/vim-gq-20240805122634078.webp'
2025-01-13 16:16:18,415 markata      WARNING  wikilink [[vim-gq-20240805122700026.webp]] (vim-gq-20240805122700026.webp, None) no matches, defaulting to '/vim-gq-20240805122700026.webp'
2025-01-13 16:16:20,050 markata      WARNING  wikilink [[meta]] (meta, None) no matches, defaulting to '/meta'
2025-01-13 16:16:24,207 markata      WARNING  wikilink [[slashes]] (slashes, None) no matches, defaulting to '/slashes'
2025-01-13 16:16:25,404 markata      WARNING  wikilink [[trying-obsidian-20240731135759007.webp]] (trying-obsidian-20240731135759007.webp, None) no matches, defaulting to '/trying-obsidian-20240731135759007.webp'
2025-01-13 16:16:25,517 markata      WARNING  wikilink [[trying-obsidian-20240804194656515.webp]] (trying-obsidian-20240804194656515.webp, None) no matches, defaulting to '/trying-obsidian-20240804194656515.webp'
2025-01-13 16:16:25,558 markata      WARNING  wikilink [[trying-obsidian-20240804194934445.webp]] (trying-obsidian-20240804194934445.webp, None) no matches, defaulting to '/trying-obsidian-20240804194934445.webp'
2025-01-13 16:16:25,746 markata      WARNING  wikilink [[blog-post]] (blog-post, None) no matches, defaulting to '/blog-post'
2025-01-13 16:16:25,895 markata      WARNING  wikilink [[Recent-Posts]] (Recent-Posts, None) no matches, defaulting to '/Recent-Posts'
2025-01-13 16:16:27,493 markata      WARNING  wikilink [[README]] (README, None) no matches, defaulting to '/README'
2025-01-13 16:16:27,643 markata      WARNING  wikilink [[til-post]] (til-post, None) no matches, defaulting to '/til-post'
2025-01-13 16:16:27,718 markata      WARNING  wikilink [[gratitude]] (gratitude, None) no matches, defaulting to '/gratitude'
2025-01-13 16:16:30,847 markata      WARNING  wikilink [[gratitude-193]] (gratitude-193, None) has duplicate matches, defaulting to the first
2025-01-13 16:16:30,885 markata      WARNING  wikilink [[gratitude-194]] (gratitude-194, None) has duplicate matches, defaulting to the first
2025-01-13 16:16:34,925 markata      WARNING  wikilink [[markata-supports-jinja-plugins-0.5.0.dev2]] (markata-supports-jinja-plugins-0.5.0.dev2, None) no matches, defaulting to '/markata-supports-jinja-plugins-0.5.0.dev2'
2025-01-13 16:16:35,260 markata      WARNING  wikilink [[markata-0.3.0]] (markata-0.3.0, None) no matches, defaulting to '/markata-0.3.0'
2025-01-13 16:16:37,230 markata      WARNING  wikilink [[blogging-in-2024-20240805080104035.webp]] (blogging-in-2024-20240805080104035.webp, None) no matches, defaulting to '/blogging-in-2024-20240805080104035.webp'
2025-01-13 16:16:37,271 markata      WARNING  wikilink [[blogging-in-2024-20240805080137554.webp]] (blogging-in-2024-20240805080137554.webp, None) no matches, defaulting to '/blogging-in-2024-20240805080137554.webp'
2025-01-13 16:16:39,628 markata      WARNING  wikilink [[designing-a-knock-off-key-20240803095740665.webp]] (designing-a-knock-off-key-20240803095740665.webp, None) no matches, defaulting to '/designing-a-knock-off-key-20240803095740665.webp'
